iter	Passed	Remaining
0	0	218
1	0	179
2	1	166
3	1	162
4	1	156
5	1	152
6	2	147
7	2	143
8	2	142
9	3	140
10	3	139
11	3	135
12	3	134
13	4	133
14	4	133
15	4	135
16	5	135
17	5	135
18	5	134
19	5	134
20	6	134
21	6	134
22	6	134
23	7	134
24	7	134
25	7	134
26	8	133
27	8	133
28	8	132
29	8	131
30	9	132
31	9	132
32	10	133
33	10	134
34	10	133
35	11	133
36	11	132
37	11	132
38	11	132
39	12	131
40	12	131
41	12	130
42	13	130
43	13	130
44	13	129
45	13	129
46	14	128
47	14	127
48	14	127
49	15	127
50	15	126
51	15	126
52	16	127
53	16	127
54	16	127
55	17	126
56	17	126
57	17	125
58	17	125
59	18	125
60	18	125
61	19	125
62	19	125
63	19	125
64	19	125
65	20	124
66	20	124
67	20	124
68	21	124
69	21	124
70	21	124
71	22	124
72	22	123
73	22	122
74	23	122
75	23	122
76	23	121
77	23	121
78	24	120
79	24	120
80	24	119
81	25	119
82	25	119
83	25	118
84	25	118
85	26	118
86	26	117
87	26	117
88	27	117
89	27	116
90	27	116
91	28	116
92	28	115
93	28	115
94	28	114
95	29	114
96	29	113
97	29	113
98	29	112
99	30	112
100	30	112
101	30	111
102	30	111
103	31	110
104	31	110
105	31	110
106	32	109
107	32	109
108	32	109
109	33	109
110	33	108
111	33	108
112	33	108
113	34	107
114	34	107
115	34	107
116	35	106
117	35	106
118	35	106
119	36	105
120	36	105
121	36	105
122	36	104
123	37	104
124	37	104
125	37	104
126	38	104
127	38	104
128	38	103
129	39	103
130	39	103
131	39	102
132	40	102
133	40	102
134	40	101
135	40	101
136	41	100
137	41	100
138	41	100
139	41	99
140	42	99
141	42	99
142	42	98
143	43	98
144	43	98
145	43	97
146	44	97
147	44	97
148	44	97
149	45	97
150	45	97
151	46	97
152	46	97
153	46	96
154	47	96
155	47	96
156	47	95
157	47	95
158	48	95
159	48	95
160	48	94
161	49	94
162	49	94
163	49	93
164	50	93
165	50	93
166	50	93
167	51	92
168	51	92
169	51	92
170	51	91
171	52	91
172	52	91
173	52	90
174	53	90
175	53	90
176	53	89
177	54	89
178	54	89
179	54	88
180	54	88
181	55	88
182	55	88
183	56	87
184	56	87
185	56	87
186	56	87
187	57	86
188	57	86
189	57	86
190	58	85
191	58	85
192	58	85
193	58	84
194	59	84
195	59	84
196	59	83
197	60	83
198	60	82
199	60	82
200	60	82
201	61	82
202	61	81
203	61	81
204	62	81
205	62	81
206	62	80
207	63	80
208	63	80
209	63	79
210	64	79
211	64	79
212	64	78
213	64	78
214	65	78
215	65	77
216	65	77
217	66	77
218	66	77
219	66	76
220	67	76
221	67	76
222	67	75
223	67	75
224	68	75
225	68	74
226	68	74
227	69	74
228	69	74
229	69	73
230	70	73
231	70	73
232	70	72
233	71	72
234	71	72
235	71	71
236	72	71
237	72	71
238	72	71
239	73	71
240	73	70
241	73	70
242	74	70
243	74	69
244	74	69
245	74	69
246	75	68
247	75	68
248	75	68
249	76	67
250	76	67
251	76	67
252	76	66
253	77	66
254	77	66
255	77	65
256	78	65
257	78	65
258	78	65
259	79	64
260	79	64
261	79	64
262	79	63
263	80	63
264	80	63
265	80	62
266	81	62
267	81	62
268	81	61
269	81	61
270	82	61
271	82	60
272	82	60
273	83	60
274	83	60
275	83	59
276	84	59
277	84	59
278	84	58
279	84	58
280	85	58
281	85	57
282	85	57
283	86	57
284	86	56
285	86	56
286	87	56
287	87	56
288	87	55
289	87	55
290	88	55
291	88	54
292	88	54
293	89	54
294	89	53
295	89	53
296	90	53
297	90	53
298	90	52
299	90	52
300	91	52
301	91	51
302	91	51
303	92	51
304	92	50
305	92	50
306	92	50
307	93	50
308	93	49
309	94	49
310	94	49
311	94	48
312	95	48
313	95	48
314	95	48
315	96	47
316	96	47
317	96	47
318	96	46
319	97	46
320	97	46
321	97	45
322	98	45
323	98	45
324	98	44
325	99	44
326	99	44
327	99	44
328	100	43
329	100	43
330	100	43
331	101	42
332	101	42
333	101	42
334	101	41
335	102	41
336	102	41
337	102	41
338	102	40
339	103	40
340	103	40
341	103	39
342	104	39
343	104	39
344	104	38
345	105	38
346	105	38
347	105	38
348	106	37
349	106	37
350	106	37
351	106	36
352	107	36
353	107	36
354	107	35
355	108	35
356	108	35
357	108	34
358	109	34
359	109	34
360	109	34
361	109	33
362	110	33
363	110	33
364	110	32
365	111	32
366	111	32
367	111	31
368	112	31
369	112	31
370	112	31
371	113	30
372	113	30
373	113	30
374	113	29
375	114	29
376	114	29
377	114	28
378	115	28
379	115	28
380	115	27
381	115	27
382	116	27
383	116	27
384	116	26
385	117	26
386	117	26
387	117	25
388	117	25
389	118	25
390	118	24
391	118	24
392	119	24
393	119	23
394	119	23
395	119	23
396	120	23
397	120	22
398	120	22
399	121	22
400	121	21
401	121	21
402	121	21
403	122	20
404	122	20
405	122	20
406	123	19
407	123	19
408	123	19
409	124	19
410	124	18
411	124	18
412	125	18
413	125	17
414	125	17
415	125	17
416	126	16
417	126	16
418	126	16
419	127	16
420	127	15
421	127	15
422	128	15
423	128	14
424	129	14
425	129	14
426	129	13
427	129	13
428	130	13
429	130	13
430	130	12
431	131	12
432	131	12
433	131	11
434	131	11
435	132	11
436	132	10
437	132	10
438	133	10
439	133	10
440	133	9
441	134	9
442	134	9
443	134	8
444	134	8
445	135	8
446	135	7
447	135	7
448	136	7
449	136	6
450	136	6
451	137	6
452	137	6
453	137	5
454	137	5
455	138	5
456	138	4
457	138	4
458	139	4
459	139	3
460	139	3
461	140	3
462	140	3
463	140	2
464	140	2
465	141	2
466	141	1
467	141	1
468	142	1
469	142	0
470	142	0
471	142	0
472	143	0
